"Maclennan, Joss"
"Trafford, Mary"
"Kelly, Mary"
"Barndt, Deborah"
"Lok, Linda"
"Gallagher, Dawna"
Sistren (Collective)
"Mackenzie, Elizabeth"
"Robins, Blair"
"Sturman, Susan"
"Needham, Wilma"
"av Maat, Sara"
"Maclennan, Joss"
"James, Barbara"
"Wortsman, Wendy"
"Bobryk, Bonnie"
"Bronson, AA"
"Dyson, Brian"
"Chitty, Elizabeth"
"Beuys, Joseph"
"Cypis, Dorit"
"Baldessari, John"
"Iimura, Taka"
"Dolan, Fredrick"
"Snake, Sheila"
"Kauffman, Kathy"
"Askevold, David"
"Pinkel, Sheila"
"Tzanetopoulos, Paul"
"Sherman, Tom"
"Werden, Rodney"
"CLICHETTES, The"
"Perry, Al"
"Boyarski, Al"
"Cockburn, Bruce"
"Cameron, B. A."
"Clough, Annette"
"Colvey, Stephanie"
"Di Michele, Mary"
"Gems, Pam"
"Gibson, Margaret"
"Jankola, Beth"
"Jones, Laura"
"Kenney, Gail"
"Lessing, Doris"
"Moscovitch, Arlene"
"Roy, Gabrielle"
"Voyce, Julie"
"Wiseman, Adele"
"Zaborska, Marta"
"Burrows, Tom"
"Bonnard, Pierre"
"Léger, Fernand"
"Carr, Don"
"Johnston, Jude"
"Davis, Christine"
"Miles, Geoff"
"Arcand, Pierre-André"
"Laliberté, Sylvie"
"Martel, Richard"
"Schneemann, Carolee"
"Chitty, Elizabeth"
"Mantle, Arlene"
"Shiomi, R.A."
"Kogawa, Joy"
"Wah, Fred"
"Kiyooka, Roy"
"Borden, Lizzie"
"White, Carolyn"
"Ramond, Françoise"
"Finley, Karen"
"Jolicoeur, Nicole"
"Kelly, Mary"
"Steven, Peter"
"Kell, Robert"
"Klunder, Barbara"
"Condé, Carole"
"Beveridge, Karl"
"Eckhert, Connie"
"Miller, Jim"
"Stimac, Charles"
"Allen, Lillian"
"Simon, Paul"
"Novotny-Jones, Mari"
"Hatoum, Mona"
"Moores, Marg"
"Johnston, Jude"
"Martin, Stephanie"
"Levitt, Nina"
"Macdowall, Cyndra"
"Kureishi, Hanif"
"Kellhammer, Oliver"
"Brink, André"
"Cronenberg, David"
"Dako, Peter"
"Fabo, Andy"
"Johnson, Linton Kwesi"
"Michaleski, Bernard R.J."
"Miles, Geoff"
"Westbury, Tim"
"Vereschagin, David"
"Necakov, Lillian"
"Merrill, Michael"
"Andrews, Stephen"
"Miller, Eric"
"Samuels, J."
"Miles, Geoff"
"Berland, Jody"
"Donegan, Rosemary"
"Anderson, John"
"Beveridge, Karl"
"Britton, Susan"
"Bull, Hank"
"CLICHETTES, The"
"Cohen, Lynne"
"Conde, Carole"
"Fones, Bob"
General Idea (Collective)
"Gledhill, Randy"
"Hammer, Barbara"
"Kenner, Hugh"
"Kosuth, Joseph"
"Lewis, Glenn"
"Lewis, Marien"
"Lota-Totino, Arrigo"
Owen Sound
"Patterson, Andy"
"Robertson, Clive"
"Sherman, Tom"
"Steele, Lisa"
"Vanderzaag, Elizabeth"
"Wong, Paul"
"Vereschagin, David"
"Sorensen, André"
"Duvet, Jean"
"Kelly, Suzanne"
"McLeod, Catherine"
"Davis, Christine"
"Miles, Geoff"
"Velasquez, Diego"
"Muybridge, Eadweard"
"Scott, John"
"Till, Paul"
"Sramek, Peter"
"Chicago, Judy"
"Leeson, Lorraine"
"Dunn, Peter"
"Binnington, Dave"
"Hackett, Laura"
5th Column
"Mitchell, Dean"
"Werger, Daniel"
"Buchbinder, Amnon"
"Wharton, Glenda"
"Russo, Vito"
"Kujundzic, Claire"
"Sutherland, Harry"
"Adair, Peter"
"Scholten, Yvonne"
"Poyraz, Sema"
"Rock, Joyce"
"Bissonnette, Sophie"
"Duckworth, Martin"
Cine Mujer (Collective)
"Citron, Michelle"
"Deren, Maya"
"Hammer, Barbara"
"Gervais, Raymond"
"Levitt, Nina"
"Gorlitz, Will"
"Simon, Paul"
"Leduc, Paul"
"Solanas, Fernando"
"Christie, Julie"
"Duran, Jorge"
"Zurinaga, Marcos"
"Solas, Humberto"
"Amaral, Zuzana"
"Atwood, Margaret"
"Elgin, Suzette Haden"
"Fairbairns, Zoe"
"Le Guin, Ursula K."
"Selkirk, John"
"Selkirk, Gordon"
"Dudoward, Valerie"
"Coppola, Francis"
"Hiller, Susan"
"Kamins, Jean"
"Nicol, Nancy"
"Brecht, George"
Talking Heads
Throbbing Gristle
"Fones, Robert"
"Massey, John"
General Idea
"Zweig, Janet"
"Whiteside, George"
"Greenwood, Gary"
"Jackson, Joe"
"Parachute Club, The"
"Pelican Players, The"
"English, Rose"
"Churchill, Caryl"
"Lillo, Larry"
"Godard, Jean-Luc"
"Radziwilowicz, Jerzy"
"Bresson, André"
"Cullen, Gregod"
"Callaghan, Michael"
"Stevenson, Sharon"
"Allan, Lillian"
"Joseph, Clifton"
Four the Moment (Collective)
"Endres, Robin"
Never Again Affinity Group (Collective)
"Gostick, Sheila"
"Barber, Bruce"
"Bociurkiw, Marusia"
"Kemp, Penny"
Mecate (Collective)
"Behnan, Michael"
"Brown, Sam"
"Cliff, Jimmy"
"Dyson, Brian"
"Woodrow, Paul"
"Moller, Peter"
"Furlong, William"
"Cage, John"
"Richards, Dean"
"O'shea, Hannah"
Anti-Music
"Anderson, Laurie"
"Chesworth, David"
"Owen, Robert"
"Schafer, Murray"
"Eno, Brian"
"Apple, Jacki"
"Lambert, Lothar"
"Cooper, Dennis"
B-52's
"Campbell, Colin"
"Cimino, Michael"
"Davies, Di"
"Dragu, Margaret"
"English, Rose"
General Idea (Collective)
"Glandfield, Lou"
"Glass Orchestra, The"
"Gumbley, Steve"
"Hockney, David"
I. O. U. (Collective)
"Kaiser, Henry"
"Kondo, Toshinori"
"Lockhart, Lizzie"
"Monday Orchestra, The"
"Moore, Brodnax"
"New Music Co-op, The"
"Nihilist Spasm Band, The"
"Oswald, John"
"Parker, Evan"
Randy and Bernicci
"Sinclair, John"
"Tubes, The"
"Waisvisz, Michel"
"Wheeler, David"
"Campbell, Colin"
"Ross, David"
"Friedkin, William"
"Watkins, Peter"
"Beuys, Joseph"
